Estabelecimento,Contato,Telefone,Categoria,Cidade,Status,Instagram,Endereço,Link Maps,Notas,Data de Cadastro,CNPJ_ENCONTRADO,DONOS_SOCIOS,EMAIL_SOCIETARIO,TELEFONE_SOCIETARIO,TELEFONE_DECISOR,CAPITAL_SOCIAL
Escritório de Advocacia JJJ. Dr. Lamarck Sousa,Escritório de Advocacia JJJ. Dr. Lamarck Sousa,(83) 99927-6790,Advogado,sousa,Não Contatado,-,"Galeria Jardeilda Garrido 123 Sl. 01, Av. Manoel Cavalcante",https://www.google.com/maps/place/Escrit%C3%B3rio+de+Advocacia+JJJ.+Dr.+Lamarck+Sousa/data=!4m7!3m6!1s0x7a5cafb1be7c0f3:0x8f369bb0abaab7e!8m2!3d-7.0180621!4d-37.9449813!16s%2Fg%2F11ckqtzzg8!19sChIJ88DnG_vKpQcRfqu6Crtp8wg?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,34282261000163,CLAUDIO ANTONIO KUHN,,5135892637,,10000
Filipe Morais Advocacia,Filipe Morais Advocacia,(83) 99658-3038,Serviços jurídicos,sousa,Não Contatado,-,-,https://www.google.com/maps/place/Filipe+Morais+Advocacia/data=!4m7!3m6!1s0x7a45b006c6470cf:0xcc8e696cf971d719!8m2!3d-6.7676378!4d-38.2316812!16s%2Fg%2F11y65564kt!19sChIJz3BkbABbpAcRGddx-Wxpjsw?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,45467556000120,,,,,15000
Duarte Silva Advocacia,Duarte Silva Advocacia,(83) 99178-7737,Serviços jurídicos,sousa,Não Contatado,-,"R. José Benedito de Souza, 18",https://www.google.com/maps/place/Duarte+Silva+Advocacia/data=!4m7!3m6!1s0x7a45bd900ee04e9:0xe1a2375c7750f5ad!8m2!3d-6.7686967!4d-38.2320158!16s%2Fg%2F11rzphs9tl!19sChIJ6QTuANlbpAcRrfVQd1w3ouE?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,59927553000137,CRISTINA DE FATIMA SOUSA,,3499615989,,80000
Cláudio Diniz Advocacia,Cláudio Diniz Advocacia,(83) 99162-3285,Serviços jurídicos,sousa,Não Contatado,-,"R. Manoel Gadelha Filho, 18 - Sala 35",https://www.google.com/maps/place/Cl%C3%A1udio+Diniz+Advocacia/data=!4m7!3m6!1s0x7a45b0abae7bdcf:0x52a617dc657b3029!8m2!3d-6.7617392!4d-38.2269195!16s%2Fg%2F11c6f4z5lb!19sChIJz73nugpbpAcRKTB7ZdwXplI?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,86886496000168,"ELIANA RODRIGUES DE OLIVEIRA (majoritário/admin) | Outros: FRANCISCO JACINTO OLIVEIRA SOBRINHO, JOAO JACINTO OLIVEIRA NETO, PEDRO JACINTO OLIVEIRA SOBRINHO",,8836361482,,500000
Advogado José Cirilo Fernandes Neto,Advogado José Cirilo Fernandes Neto,(83) 99328-5554,Advogado,sousa,Não Contatado,-,R. Lafaiete Píres Ferreira,https://www.google.com/maps/place/Advogado+Jos%C3%A9+Cirilo+Fernandes+Neto/data=!4m7!3m6!1s0x7a45b8b9798cab3:0x179a222b7cbfb365!8m2!3d-6.7605658!4d-38.2313486!16s%2Fg%2F11vf707p_9!19sChIJs8qYl4tbpAcRZbO_fCsimhc?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,,CNPJ não localizado,,,,
DPU - Defensoria Pública da União em Sousa/PB,DPU - Defensoria Pública da União em Sousa/PB,(83) 99104-0634,Assistência jurídica,sousa,Não Contatado,https://www.dpu.def.br/endereco-paraiba,"R. Cel. Aproniano Gomes de Sá, 3",https://www.google.com/maps/place/DPU+-+Defensoria+P%C3%BAblica+da+Uni%C3%A3o+em+Sousa%2FPB/data=!4m7!3m6!1s0x7a45b00595560d3:0x5b9d64e08100d5e8!8m2!3d-6.7599248!4d-38.2294615!16s%2Fg%2F11mctdxwdf!19sChIJ02BVWQBbpAcR6NUAgeBknVs?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,,CNPJ não localizado,,,,
Dr. Eduardo Filho - Advocacia e Consultoria,Dr. Eduardo Filho - Advocacia e Consultoria,(83) 99836-3707,Serviços jurídicos,sousa,Não Contatado,-,"R. Manoel Mariz, 6",https://www.google.com/maps/place/Dr.+Eduardo+Filho+-+Advocacia+e+Consultoria/data=!4m7!3m6!1s0x7a45b8e5567d31b:0x4c5e5172dc9c2d08!8m2!3d-6.7614584!4d-38.2293294!16s%2Fg%2F11pd3cm3df!19sChIJG9NnVY5bpAcRCC2c3HJRXkw?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,18928417000184,,,,,2000
"Jonismar Sobreira Advogado - Família, Trabalhista e Previdenciário.","Jonismar Sobreira Advogado - Família, Trabalhista e Previdenciário.",(83) 99807-6188,Advogado de Direito de Família,sousa,Não Contatado,https://instagram.com/jonismar_sobreira?igshid=YmMyMTA2M2Y=,"R. Cônego Oriel, 31","https://www.google.com/maps/place/Jonismar+Sobreira+Advogado+-+Fam%C3%ADlia,+Trabalhista+e+Previdenci%C3%A1rio./data=!4m7!3m6!1s0x7a45d58fe62941f:0x3e9d56690eb86f9f!8m2!3d-6.7759249!4d-38.2519865!16s%2Fg%2F11kb7tnhl3!19sChIJH5Ri_lhdpAcRn2-4DmlWnT4?authuser=0&hl=pt-BR&rclk=1",-,16/04/2026,,CNPJ não localizado,,,,
Summus Advocacia,Summus Advocacia,(83) 98149-8723,Serviços jurídicos,sousa,Não Contatado,https://linktr.ee/summus.advogados_especialistas,"R. Dr. Emílio Píres, n°95",https://www.google.com/maps/place/Summus+Advocacia/data=!4m7!3m6!1s0x7a45bdb75c116fb:0x30969b9f0b03731!8m2!3d-6.7570187!4d-38.2321972!16s%2Fg%2F11q32kfbsc!19sChIJ-xbBddtbpAcRMTew8LlpCQM?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,46273952000180,IGOR SARMENTO ALMEIDA,,8381498723,,150000
Daniela Ramos advocacia e consultoria jurídica,Daniela Ramos advocacia e consultoria jurídica,(87) 98815-9253,Serviços jurídicos,sousa,Não Contatado,https://www.instagram.com/danielaramos1?igshid=MTNiYzNiMzkwZA%3D%3D&utm_source=qr,-,https://www.google.com/maps/place/Daniela+Ramos+advocacia+e+consultoria+jur%C3%ADdica/data=!4m7!3m6!1s0x7a45b003e58acdf:0xa9f36245440c9328!8m2!3d-6.7599222!4d-38.2312444!16s%2Fg%2F11y28bq6k7!19sChIJ36xYPgBbpAcRKJMMREVi86k?authuser=0&hl=pt-BR&rclk=1,-,16/04/2026,,CNPJ não localizado,,,,
